AverageDiscountedReturn,MaxReturn,Total cost,dLoss,MeanKLBefore,Entropy,AverageReturn,Perplexity,NumTrajs,StdReturn,ExplainedVariance,MinReturn,LossAfter,Iteration,AveragePolicyStd,LossBefore,MeanKL
-91.4645632625,-82.522403598,169.39274984762872,0.0365274496364,0.0,0.407279235699,-127.194929276,1.50272366117,104,23.3570513683,0.768537200553,-220.405606601,-0.0365274496364,67,0.363615133046,2.24160675402e-16,0.00851441546325
-88.0734650154,-81.5558528644,165.8163418726986,0.24501715434,0.0,0.372675631241,-121.286558416,1.45161340542,104,22.0043196093,0.761303903455,-224.153113295,-0.24501715434,68,0.351247947431,7.48374467786e-16,0.00889224101033
-88.2141759488,-81.3259006091,166.75593126360312,0.160526872879,0.0,0.384256327374,-121.31256409,1.46852181578,104,22.9643057329,0.752889786378,-227.086382083,-0.160526872879,69,0.355339287737,-9.25616049694e-16,0.00753101801061
-87.3752675213,-79.8890171456,163.92609332000032,0.207743512491,0.0,0.372863517832,-119.092471701,1.45188616974,104,20.7816656561,0.761983499129,-173.131380522,-0.207743512491,70,0.351313948411,6.65653754712e-17,0.00637498875441
-86.6823809246,-79.1531953877,165.96477129699335,0.183047135086,0.0,0.3361468468,-119.207862021,1.39954452836,104,21.2148774862,0.74694912541,-209.961614062,-0.183047135086,71,0.338648803523,-3.09429849105e-16,0.00744723997773
-85.7398529727,-83.3849687479,163.16349221751946,0.0859574207715,0.0,0.351981952122,-116.781243973,1.42188286152,104,19.8703945858,0.771587858341,-211.329637247,-0.0859574207715,72,0.344054026183,-8.51879487544e-16,0.00863152392909
-87.2254716272,-83.6592115851,163.76405703585226,0.0782984857755,0.0,0.373560583563,-119.807299393,1.45289858265,104,22.3313817988,0.756179356879,-223.958214303,-0.0782984857755,73,0.351558922697,7.35152378461e-16,0.00643301905572
-85.2259045359,-82.2690915184,162.30322227285762,0.181644442635,0.0,0.382279095429,-116.242019674,1.4656210762,104,17.0418318433,0.789367722548,-172.555881274,-0.181644442635,74,0.354637393679,-8.60027138334e-16,0.00994341781795
-87.6494461038,-86.5557358265,164.57293646080976,0.194469008579,0.0,0.400537501086,-120.334031211,1.49262677057,104,19.1229111607,0.789416052583,-220.274609804,-0.194469008579,75,0.361171981113,2.13463532622e-16,0.00470358110291
-88.1602606737,-83.3081537646,166.02135086541924,0.0969968559542,0.0,0.392320901061,-121.561254938,1.48041270119,104,20.8924000122,0.78192428746,-225.320926054,-0.0969968559542,76,0.358216533895,7.33739847851e-16,0.00705182762057
