AverageReturn,MeanKLBefore,MinReturn,Entropy,StdReturn,NumTrajs,AverageDiscountedReturn,dLoss,MaxReturn,AveragePolicyStd,LossAfter,Perplexity,MeanKL,Iteration,LossBefore,ExplainedVariance
-910.831014598,0.0,-1042.03577105,1.79114797794,63.9774340068,34,-207.589615309,13.6139800073,-767.85577388,1.45093684055,-513.613980007,5.99633217379,0.00793870196444,68,-500.0,0.884123039584
-892.993245858,0.0,-1012.47504419,1.79741680002,59.5352572198,34,-204.730971263,13.6694287117,-763.747135434,1.46006107468,-513.669428712,6.03404018227,0.0093550625249,69,-500.0,0.900996348532
-888.529789623,0.0,-999.928078605,1.78093979683,48.371792332,34,-200.750958618,13.0370730657,-792.090816169,1.43620075678,-513.037073066,5.93543189837,0.00882626415881,70,-500.0,0.920688624137
-927.189964742,0.0,-1029.01120554,1.80194543744,48.9289179396,34,-210.7737231,16.1106514225,-841.960196187,1.46668815639,-516.110651422,6.06142813062,0.00896781901355,71,-500.0,0.907385724891
-907.466850736,0.0,-1010.83858086,1.8037525855,66.2609111334,34,-208.694158826,11.1779696604,-777.466711955,1.46934107544,-511.17796966,6.07239193237,0.00757669272074,72,-500.0,0.89738546935
-908.705636901,0.0,-990.408029638,1.80206272327,52.0616317471,34,-204.797293628,21.7539043507,-805.984535645,1.46686018821,-521.753904351,6.06213909194,0.00874741427069,73,-500.0,0.895653820548
-868.896042988,0.0,-1002.25797419,1.80667150433,49.8184553383,34,-204.207255005,11.3655217916,-793.026102542,1.47363622832,-511.365521792,6.09014264536,0.0092055536376,74,-500.0,0.883327470633
-899.561975887,0.0,-1026.77520383,1.80668427255,65.853336332,34,-205.854996952,10.7346754595,-737.437115492,1.47365504415,-510.734675459,6.09022040613,0.0062178427711,75,-500.0,0.875486408885
-913.521179502,0.0,-1096.02625928,1.79136579521,69.3686712588,34,-207.298373247,12.3230727485,-750.750990712,1.45125291408,-512.323072748,5.99763842079,0.00597320881938,76,-500.0,0.882711412128
-895.831729627,0.0,-1092.00982589,1.77976048113,68.0251025623,34,-202.482609924,15.6020057899,-769.884386433,1.43450802101,-515.60200579,5.92843627617,0.00727669784854,77,-500.0,0.86068103179
-906.082496678,0.0,-1014.25687852,1.78402425616,58.7403839171,34,-197.398940175,15.5684648066,-778.593360567,1.44063749856,-515.568464807,5.95376776021,0.00937771650533,78,-500.0,0.881132021174
-904.502824607,0.0,-992.383552828,1.78553034449,47.3607363929,34,-196.370494049,9.93311658803,-821.848058244,1.4428088606,-509.933116588,5.96274141621,0.00897635974363,79,-500.0,0.882085147668
-904.408740524,0.0,-1016.99532877,1.80441087762,58.4267632825,34,-200.718945287,13.7706125649,-786.003281705,1.47030864953,-513.770612565,6.07639065615,0.00931087576522,80,-500.0,0.897730508801
-934.326928017,0.0,-1086.15611362,1.81130894421,47.8443891784,34,-209.303316168,8.29250566833,-853.830342434,1.48048599816,-508.292505668,6.11845090393,0.00826046134269,81,-500.0,0.889676897856
-968.717513204,0.0,-1054.43959765,1.80709487448,55.6958883466,34,-216.438245076,17.8054665286,-850.805502705,1.474260254,-517.805466529,6.09272157584,0.00674629664955,82,-500.0,0.905262731168
-965.165994774,0.0,-1076.26968381,1.81029963195,55.017313025,34,-214.802083512,16.5477306474,-814.574010291,1.47899247933,-516.547730647,6.11227859183,0.00666574056153,83,-500.0,0.9038089103
-976.27537671,0.0,-1119.45285855,1.81037856339,77.1450819217,34,-218.713068295,17.5034484339,-818.5528369,1.47910922294,-517.503448434,6.1127610618,0.00826262623112,84,-500.0,0.876476834373
-997.099600557,0.0,-1127.29791201,1.81181114576,58.5692798126,34,-221.99664193,19.8549614059,-872.629902877,1.48122968725,-519.854961406,6.12152437115,0.00959787892245,85,-500.0,0.910223157953
-996.836955255,0.0,-1082.92509529,1.81337857497,58.8673290416,34,-222.078151836,13.6681619974,-844.629431792,1.48355323045,-513.668161997,6.13112695098,0.00962497308106,86,-500.0,0.911665308408
-984.382745764,0.0,-1081.41682746,1.8106870026,52.7973828193,34,-217.610058367,21.4618431442,-858.84787076,1.47956550859,-521.461843144,6.11464676782,0.0079306951304,87,-500.0,0.902028504596
-971.392420317,0.0,-1150.85301366,1.81884333937,60.2279394815,34,-218.696790727,16.6519886044,-874.141062629,1.49168269189,-516.651988604,6.16472383116,0.0077226813937,88,-500.0,0.898234561308
-987.323115523,0.0,-1075.70890642,1.8189021511,57.1206928158,34,-219.973232736,13.6932232994,-806.30864476,1.49177042291,-513.693223299,6.16508639992,0.0070920672614,89,-500.0,0.912128093704
-975.674660603,0.0,-1129.70328542,1.81649596836,63.684416521,34,-215.958044874,16.0584445431,-816.602291477,1.48818526567,-516.058444543,6.15026990817,0.00667225370475,90,-500.0,0.886256812231
-970.07159436,0.0,-1064.82329912,1.81326139274,61.5151190527,34,-214.495188072,17.2238962657,-834.367874901,1.48337939455,-517.223896266,6.13040853393,0.00837946897234,91,-500.0,0.890720902209
-946.088124906,0.0,-1047.65723401,1.81254166087,59.2212602633,34,-209.13679869,21.3636472984,-811.795484378,1.48231214325,-521.363647298,6.12599787099,0.00802218344907,92,-500.0,0.894379687328
-961.241937954,0.0,-1108.0352074,1.83664349578,57.1253208936,34,-209.692586328,27.9238955246,-836.864911578,1.51847260206,-527.923895525,6.27543933289,0.00791101701404,93,-500.0,0.894348863351
-931.730871239,0.0,-1077.92295057,1.84935634623,56.8559558958,34,-202.992628189,18.5879803414,-789.839316343,1.53789994396,-518.587980341,6.35572731789,0.00740564326664,94,-500.0,0.885673600369
-931.565977368,0.0,-1016.97985216,1.84039005661,53.7093962198,34,-204.613428288,14.3782662604,-807.959947374,1.52417232255,-514.37826626,6.29899474648,0.00766431483008,95,-500.0,0.891804857184
-941.171003852,0.0,-1076.85372311,1.83798756659,59.0498619984,34,-207.798085653,20.9064450584,-806.773017271,1.52051490896,-520.906445058,6.28387963866,0.00955315417721,96,-500.0,0.895930674738
-936.893460439,0.0,-1048.98485089,1.82468317499,61.2176021107,34,-202.970417143,16.5874247616,-804.004154407,1.50041935913,-516.587424762,6.20083012982,0.00876262805499,97,-500.0,0.900683103553
-911.401039874,0.0,-1059.33048884,1.82496586736,66.5624304521,34,-204.819986222,14.5842674733,-775.679825247,1.50084357619,-514.584267473,6.20258330497,0.00649940959291,98,-500.0,0.885056780298
-898.095669248,0.0,-1037.10198826,1.81988817616,74.0101851617,34,-204.669660517,19.4188435574,-759.538866453,1.49324207134,-519.418843557,6.17116832754,0.00990625454831,99,-500.0,0.881639602979
-896.39508147,0.0,-982.120122356,1.8207869927,55.5285362324,34,-199.293517043,15.2467858479,-778.897731385,1.49458482537,-515.246785848,6.1767175692,0.00683951931159,100,-500.0,0.877046097388
-901.763649321,0.0,-1043.49758628,1.81508480411,63.9510680803,34,-203.741113329,17.2801863227,-782.75511695,1.48608667289,-517.280186323,6.141596988,0.00916686027016,101,-500.0,0.885067104742
-891.522453308,0.0,-1020.92281443,1.82604314268,63.133244753,34,-193.768720943,20.3376275131,-744.238627241,1.50246126912,-520.337627513,6.20926879525,0.00984253350591,102,-500.0,0.877231647946
-908.280048968,0.0,-1031.86785542,1.86021954025,48.8729284835,34,-197.332892554,14.0059245893,-835.169176521,1.55469752193,-514.005924589,6.42514719505,0.00993017700516,103,-500.0,0.907255346909
-907.637409419,0.0,-1017.59752123,1.8456853859,59.7025980758,34,-201.603937855,13.9321899616,-779.637733069,1.53226472395,-513.932189962,6.33243846747,0.00935262331637,104,-500.0,0.87419810861
-917.060646104,0.0,-1064.93678397,1.82117753484,56.9977022704,34,-202.177263906,15.5581430353,-775.995127637,1.49516863772,-515.558143035,6.17913030881,0.00725023730116,105,-500.0,0.893753113399
-910.669105732,0.0,-1005.63887489,1.83851866985,48.6991181205,34,-201.20480124,15.3124548055,-795.255339121,1.52132267386,-515.312454806,6.287217914,0.00632514054171,106,-500.0,0.884201965407
-900.572711243,0.0,-1042.28392839,1.82197068176,69.9349927435,34,-200.702604833,10.9016060951,-789.099424272,1.49635499654,-510.901606095,6.18403321111,0.00688846512309,107,-500.0,0.875004960075
-879.64089667,0.0,-994.486796014,1.83206501544,63.6498226847,34,-197.195503801,14.5952193608,-765.368653246,1.51153619632,-514.595219361,6.24677303142,0.00695464523841,108,-500.0,0.866369934336
-879.422971008,0.0,-994.973088356,1.83086989863,50.5028734577,34,-189.366995966,12.1931526114,-789.820713959,1.50973081305,-512.193152611,6.23931186736,0.00691557658138,109,-500.0,0.872366820501
-887.6349265,0.0,-1000.33691647,1.83746365102,49.5139644492,34,-194.159779129,19.0451973969,-783.691204287,1.51971849617,-519.045197397,6.28058827857,0.00960166267718,110,-500.0,0.87201159439
-883.257791652,0.0,-1006.36722607,1.87828104551,60.6726257403,34,-193.429429347,18.1928815979,-754.666068208,1.58303281816,-518.192881598,6.54224936221,0.00917446648679,111,-500.0,0.854361787454
-873.815744689,0.0,-959.454416916,1.89135550863,45.53595463,34,-190.335932991,12.5976691862,-768.537883749,1.60386601704,-512.597669186,6.62834737642,0.00728629525719,112,-500.0,0.883396098419
-846.302603452,0.0,-938.38359586,1.90922682855,55.8253332007,34,-189.496751382,22.1597916636,-743.289825773,1.63278687696,-522.159791664,6.74786952102,0.00886266707689,113,-500.0,0.880154393508
-866.323835876,0.0,-989.153020139,1.93697508471,58.0569967513,34,-193.468448984,15.5571805452,-742.70903711,1.67872831514,-515.557180545,6.93773314305,0.00762739559211,114,-500.0,0.877349134402
-862.390892175,0.0,-958.989167337,1.92310627985,60.2654159727,34,-193.733509,14.663382043,-707.71087788,1.65560706239,-514.663382043,6.84217921684,0.00802575874757,115,-500.0,0.883243069136
